drink_type,milk (in cl),ice cubes,coffee dose (in number of ristrettos),coffee dose (in number of espressos),aroma pumps (=10 ml),natural fruit extract pumps (=10ml),chocolate pumps (=30 ml),teaspoon powder (= 5ml),tablespoon powder (= 15ml),cold brew (in cl),coco milk (in cl),infused black tea (in cl),apple juice,fruit packets,freshly pressed orange juice,honey (in grams),whipped cream,speculoos (in ml),filter coffee (in cl),coffee (in grams),tea bags,size (mixed drinks),size (coffee)
espresso,,,,1,,,,,,,,,,,,,,,,7,,,simple
espresso,,,,2,,,,,,,,,,,,,,,,14,,,double
macchiato,10,,,1,,,,,,,,,,,,,,,,7,,,simple
macchiato,10,,,2,,,,,,,,,,,,,,,,14,,,double
con panna,,,,1,,,,,,,,,,,,,small dome,,,7,,,simple
con panna,,,,2,,,,,,,,,,,,,small dome,,,14,,,double
lungo,,,,1,,,,,,,,,,,,,,,,,,,simple
ristretto,,,1,,,,,,,,,,,,,,,,,7,,,simple
ristretto,,,2,,,,,,,,,,,,,,,,,14,,,double
filter coffee,,,,,,,,,,,,,,,,,,,35,16.47058824,,small,
filter coffee,,,,,,,,,,,,,,,,,,,45,21.17647059,,medium,
filter coffee,,,,,,,,,,,,,,,,,,,50,23.52941176,,large,
tea/herbal teas,,,,,,,,,,,,,,,,,,,,,1,small,
tea/herbal teas,,,,,,,,,,,,,,,,,,,,,1,medium,
tea/herbal teas,,,,,,,,,,,,,,,,,,,,,2,large,
